[2025-12-21T04:53:16.163393] id=189: "EIXO SETOR Usinado" -> "EIXO SETOR - Usinado"
[2025-12-21T04:53:16.163720] id=190: "EIXO SETOR Usinado" -> "EIXO SETOR - Usinado"
[2025-12-21T04:53:16.164032] id=191: "EIXO SETOR Usinado" -> "EIXO SETOR - Usinado"
[2025-12-21T04:53:16.164384] id=192: "EIXO SETOR Usinado" -> "EIXO SETOR - Usinado"
[2025-12-21T04:53:16.164765] id=193: "EIXO SETOR Usinado" -> "EIXO SETOR - Usinado"
[2025-12-21T04:53:16.165126] id=194: "EIXO SETOR Usinado" -> "EIXO SETOR - Usinado"
[2025-12-21T04:53:16.165879] id=195: "EIXO SETOR Usinado" -> "EIXO SETOR - Usinado"
[2025-12-21T04:53:16.166145] id=196: "EIXO SETOR Usinado" -> "EIXO SETOR - Usinado"
[2025-12-21T04:53:16.166484] id=197: "EIXO SETOR Usinado" -> "EIXO SETOR - Usinado"
[2025-12-21T04:53:16.166790] id=198: "EIXO SETOR Usinado" -> "EIXO SETOR - Usinado"
[2025-12-21T04:53:16.167099] id=199: "EIXO SETOR Usinado" -> "EIXO SETOR - Usinado"
[2025-12-21T04:53:16.167962] id=200: "EIXO SETOR Usinado" -> "EIXO SETOR - Usinado"
[2025-12-21T04:53:16.168466] id=201: "EIXO SETOR Usinado" -> "EIXO SETOR - Usinado"
[2025-12-21T04:53:16.169067] id=202: "EIXO SETOR Usinado" -> "EIXO SETOR - Usinado"
[2025-12-21T04:53:16.169530] id=203: "EIXO SETOR Usinado" -> "EIXO SETOR - Usinado"
[2025-12-21T04:53:16.169831] id=204: "EIXO SETOR Usinado" -> "EIXO SETOR - Usinado"
[2025-12-21T04:53:16.170207] id=205: "EIXO SETOR Usinado" -> "EIXO SETOR - Usinado"
[2025-12-21T04:53:16.170517] id=206: "EIXO SETOR Usinado" -> "EIXO SETOR - Usinado"
[2025-12-21T04:53:16.170824] id=207: "VÁLVULA ROTATIVA Bruto" -> "VÁLVULA ROTATIVA - Bruto"
[2025-12-21T04:53:16.171188] id=208: "VÁLVULA ROTATIVA Bruto" -> "VÁLVULA ROTATIVA - Bruto"
[2025-12-21T04:53:16.171495] id=209: "VÁLVULA ROTATIVA Bruto" -> "VÁLVULA ROTATIVA - Bruto"
[2025-12-21T04:53:16.171765] id=210: "VÁLVULA ROTATIVA Bruto" -> "VÁLVULA ROTATIVA - Bruto"
[2025-12-21T04:53:16.172119] id=211: "VÁLVULA ROTATIVA Bruto" -> "VÁLVULA ROTATIVA - Bruto"
[2025-12-21T04:53:16.172501] id=212: "VÁLVULA ROTATIVA Bruto" -> "VÁLVULA ROTATIVA - Bruto"
[2025-12-21T04:53:16.172849] id=213: "VÁLVULA ROTATIVA Bruto" -> "VÁLVULA ROTATIVA - Bruto"
[2025-12-21T04:53:16.173152] id=214: "VÁLVULA ROTATIVA Bruto" -> "VÁLVULA ROTATIVA - Bruto"
[2025-12-21T04:53:16.173599] id=215: "VÁLVULA ROTATIVA Bruto" -> "VÁLVULA ROTATIVA - Bruto"
[2025-12-21T04:53:16.173911] id=216: "VÁLVULA ROTATIVA Bruto" -> "VÁLVULA ROTATIVA - Bruto"
[2025-12-21T04:53:16.174403] id=217: "VÁLVULA ROTATIVA Usinado" -> "VÁLVULA ROTATIVA - Usinado"
